Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Abilities - Chut","Abilities|Chut","ChudCooldownSeconds","Chud Cooldown (s)","20","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: 20 s. [allowed range: 0.0 to 180.0]"
"Abilities - Chut","Abilities|Chut","bChudRefreshesOnKnifeKill","Chud Refreshes On Knife Kill","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""The timer refreshes on a knife kill."" Off makes Chud a plain 10 s window."
"Abilities - Mace","Abilities|Mace","MaceMagnetRadiusBonus","Magnet Radius Bonus (fraction of Core Catch Radius) [v14 §6: derive, do not hardcode]","0.3","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""+30% magnet radius ... The base is now 450 uu (reduced 10% in Demo 12), so Mace's is 585 uu. DERIVE IT, DO NOT HARDCODE."" So this is the 0.30 and the base stays CoreCatchRadius under Core|Mode B. 450 x 1.30 = 585. If somebody retunes the base, Mace follows for free. [allowed range: 0.0 to 2.0]"
"Abilities - Mace","Abilities|Mace","MaceSuspendMaxSeconds","Suspend Max Duration (s)","1.25","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""suspend for up to 1.25 s"". A hard cap, not a resource - releasing V ends it early. [allowed range: 0.05 to 10.0]"
"Abilities - Mace","Abilities|Mace","MaceSuspendLateralSpeedCap","Suspend Lateral Speed Cap (uu/s)","550","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""she may move laterally capped at 550 uu/s"" while suspended. [allowed range: 0.0 to 3000.0]"
"Abilities - Mace","Abilities|Mace","MaceSuspendCooldownSeconds","Suspend Cooldown (s, from RELEASE or expiry; NOT drawn on the HUD) [Demo 17: 3]","3","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","DEMO 17 item 6, verbatim: ""Add a 3 second cooldown to Mace's V. Time it from when she releases V or the suspend expires, not from when it started. Do not show it on the HUD."" *** TIMED FROM THE END, AND THAT IS WHERE THE CODE ALREADY PUTS IT. *** It is stamped by UTraceAbilitySetMace::StopSuspend(), which is the ONE exit every way out of a suspend goes through - the key coming up, the 1.25 s cap elapsing, landing, a ... [allowed range: 0.0 to 60.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikeRangeUU","Spike Range (uu) [v15 §6: 2200 -> 6600, +200%]","6600","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""throws a roped spike in her aim direction for a MEDIUM distance."" v15 §6: ""expand the range for its use 200%"". [ASSUMPTION] ""200% more"" read as x3, so 2200 -> 6600. MEASURED WHY IT MATTERED: at 2200 uu, Trace.Mace.SpikeConsistency's arena census found a wall on only 21.6% of 648 aim directions taken from real player positions - three times out of four, looking somewhere and pressing E did nothing at all. That ... [allowed range: 100.0 to 20000.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikeTravelSpeed","Spike Travel Speed (uu/s) [v15 §6: 5000 -> 20000, +300%]","20000","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How fast the spike travels to its anchor. Fast enough to feel like a grapple, not a grenade. v15 §6: ""make it 300% faster"". [ASSUMPTION] ""300% faster"" read as x4, so 5000 -> 20000. At the raised range that is a 0.33 s flight for a maximum throw, against 1.32 s if the old speed had been kept - the range change on its own would have made the ability SLOWER to use. [allowed range: 100.0 to 30000.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikeMaxSurfaceNormalZ","Spike Wall Test: max |normal.Z| [v15 §6]","0.7","cos, -1 to 1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","THE WALL TEST. ""Largest |Normal.Z| the spike will still call a wall."" This USED to read WallJumpMaxNormalZ (0.40), on the reasoning that the project should have one definition of a wall. MEASURED, that was wrong for the spike: 0.40 is a surface 66 degrees off horizontal, so everything between the 45-degree walkable limit and 66 degrees was refused - geometry she cannot stand on, cannot walk up, and could not spike ... [allowed range: 0.0 to 1.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikeTraceRadiusUU","Spike Aim Forgiveness Radius (uu, 0 = exact line only) [v15 §6]","16","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Radius of the FALLBACK sweep the throw runs when the exact aim ray finds nothing to stick to. 0 disables it and leaves the throw a pure line trace, which is what it was before v15 §6. WHY IT EXISTS. The throw resolved its anchor with an infinitely thin line, so a 40 uu pillar at 1200 uu was missed by one degree of aim error and a 16 uu railing by half a degree - while the crosshair was visibly still on them. ... [allowed range: 0.0 to 60.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikeEmbedSeconds","Spike Embed Duration (s)","2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""On hitting a wall it embeds for 2 s."" After that it is gone whether she used it or not. [allowed range: 0.1 to 30.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikePullSpeedMultiplier","Spike Pull Speed (x air-strafe hard cap) [v15 §6: 1.0 -> 2.0, the pull became the slow part]","2","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Pull speed as a multiple of the momentum ceiling. v14 §6: ""pulls her toward it AT THE MOMENTUM CEILING (the air-strafe hard cap)"". DERIVED - the ceiling is AirStrafeHardCapSpeed x AirStrafeAsymptoteScale under Movement|Air, and it stays the only place that number lives. 2.0, NOT the 1.0 v14 derived, and the reason is measured. v15 §6 made the throw 4x faster and the range 3x longer, and verification then showed the ... [allowed range: 0.1 to 4.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikeArriveRadiusUU","Spike Arrive Radius (uu)","150","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How close to the spike counts as arrived, ending the pull. [allowed range: 20.0 to 600.0]"
"Abilities - Mace","Abilities|Mace","MaceSpikeCooldownSeconds","Spike Cooldown (s) [v14 §6 ASSUMPTION: unspecified]","20","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6 [ASSUMPTION]: ""cooldown 20 s to match the others; flag it as unspecified."" Flagged. [allowed range: 0.0 to 180.0]"
"Abilities - Oyster","Abilities|Oyster","OysterJarLifetimeSeconds","Jar Lifetime (s)","4","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: jars ""last 4 s on the ground"". [allowed range: 0.25 to 60.0]"
"Abilities - Oyster","Abilities|Oyster","OysterMaxJars","Max Live Jars","3","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""Max 3; a fourth despawns the oldest."" [allowed range: 1 to 20]"
"Abilities - Oyster","Abilities|Oyster","OysterJarBreakRadiusUU","Jar Break Radius (uu)","100","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How close an enemy must come to break a jar by touching it. [allowed range: 20.0 to 500.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPoisonDamagePerTick","Poison Damage Per Tick","3","HP","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""3 damage every 0.5 s for 4 s"". This is the 3. Damage, so it never reaches a carrier. [allowed range: 0.0 to 100.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPoisonTickIntervalSeconds","Poison Tick Interval (s)","0.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: every 0.5 s. [allowed range: 0.05 to 5.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPoisonDurationSeconds","Poison Duration (s)","4","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: for 4 s. At the shipped tick that is 8 ticks and 24 damage total. [allowed range: 0.25 to 30.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPoisonSlowFraction","Poison Slow (fraction) [CONTROL: see the §4 assumption]","0.3","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""−30% speed for 4 s"". A CONTROL effect - blocked on carriers by the §4 [ASSUMPTION]. [allowed range: 0.0 to 0.95]"
"Abilities - Oyster","Abilities|Oyster","OysterPoisonRadiusUU","Poison Burst Radius (uu)","380","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How far the burst reaches. §6 says ""poisoning nearby enemies"" and leaves the radius open. [allowed range: 50.0 to 3000.0]"
"Abilities - Oyster","Abilities|Oyster","OysterJarJumpZVelocity","Jar-Jump Z Velocity (uu/s)","1050","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""jumping while stood on one of his jars breaks it and boosts him upward."" [allowed range: 0.0 to 3000.0]"
"Abilities - Oyster","Abilities|Oyster","OysterJarJumpRadiusUU","Jar-Jump Stand Radius (uu)","110","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How close to a jar Oyster must be standing for the jar-jump to trigger instead of a jump. [allowed range: 20.0 to 400.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerDamage","Pickler Impact Damage","30","HP","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: Pickler ""deals 30 damage in an area"" on landing. Damage - never reaches a carrier. [allowed range: 0.0 to 300.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerDamageRadiusUU","Pickler Damage Radius (uu)","420","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The area that 30 covers. [allowed range: 50.0 to 3000.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerPullRadiusUU","Pickler Pull Radius (uu) [CONTROL]","380","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""pulls enemies within a SMALL radius toward it"" - smaller than the damage radius. // SPEC v19 §4.4 ""a greater pull radius"": 260 -> 380, matching the poison burst radius the game // already draws, so the ring a player SEES is the ring that grabs them. The C++ default and // Config/DefaultGame.ini's pinned value are kept equal deliberately - when they disagreed the ini // silently won and the header lied to anyone ... [allowed range: 20.0 to 2000.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerPullSpeed","Pickler Pull Speed (uu/s) [CONTROL]","1300","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How hard the pull is. A CONTROL effect - blocked on carriers by the §4 [ASSUMPTION]. [allowed range: 0.0 to 5000.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerDetonateDelayScale","Pickler Detonate Delay (x pull travel time)","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v26 §6b: ""the E jar should EXPLODE once the pull animation finishes, rather than waiting for a jump to trigger them."" How long the Pickler jar lies there after its impact before it detonates, expressed as a MULTIPLE OF THE PULL'S OWN TRAVEL TIME rather than as a number of seconds. The pull is what this delay is waiting for, so the pull is the base it is stored against: someone caught at the very edge of ... [allowed range: 0.0 to 10.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerThrowSpeed","Pickler Throw Speed (uu/s)","1900","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How fast the jar is lobbed. It is a LOB - it arcs, lands, fires its impact, then detonates. [allowed range: 100.0 to 10000.0]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerThrowUpBias","Pickler Throw Up Bias (fraction)","0.35","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Upward bias on the lob, as a fraction of the throw speed. Zero would be a bullet, not a lob. [allowed range: 0.0 to 1.5]"
"Abilities - Oyster","Abilities|Oyster","OysterPicklerCooldownSeconds","Pickler Cooldown (s) [v14 §6 ASSUMPTION: unspecified]","20","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6 [ASSUMPTION]: ""cooldown 20 s; unspecified."" Flagged. [allowed range: 0.0 to 180.0]"
"Abilities - X","Abilities|X","XBeeCount","Bee Count","5","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: five bees. The same five are the Sting's five bullets, so this is one number, not two. [allowed range: 1 to 20]"
"Abilities - X","Abilities|X","XBeeOrbitRadiusUU","Bee Orbit Radius (uu)","120","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How far out the bees orbit. §6 [ASSUMPTION]: ""the orbiting bees hit on contact - X's body is the delivery mechanism."" [allowed range: 20.0 to 600.0]"
"Abilities - X","Abilities|X","XBeeOrbitSpeedDegPerSecond","Bee Orbit Speed (deg/s)","240","deg/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How fast they go round. Cosmetic except that it sets which bee is where when a body touches. [allowed range: 0.0 to 2000.0]"
"Abilities - X","Abilities|X","XBeeHitRadiusUU","Bee Hit Radius (uu)","50","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","A bee's own touch radius, on top of the victim's capsule. [allowed range: 5.0 to 300.0]"
"Abilities - X","Abilities|X","XVulnerableDurationSeconds","Vulnerable Duration (s)","2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: vulnerable for 2 s. ""Does not stack; a new application RESETS the timer."" [allowed range: 0.1 to 30.0]"
"Abilities - X","Abilities|X","XVulnerableDamageBonus","Vulnerable Damage Bonus (fraction) [v24 §9: 0.35, was 0.25]","0.35","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","v14 §6 said ""+25% damage from ALL sources"". *** SPEC v24 §9 RAISED THE FIRST STACK TO +35%. *** Verbatim: ""Increase X's base vulnerable to 35% extra damage, keeping the 5% extra per stack after one intact, and all other aspects intact."" So this knob - and ONLY this knob - moved: XVulnerableStackBonus is still 0.05, XVulnerableMaxStacks is still 5, XVulnerableDurationSeconds is still 2, and the refresh rule is ... [allowed range: 0.0 to 3.0]"
"Abilities - X","Abilities|X","XVulnerableSpeedBonus","Speed Bonus While Any Enemy Vulnerable (fraction)","0.15","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Movement passive: speed while ANY enemy is vulnerable - any, not the one he marked. v14 §6 specified 10%; Demo 18 raised it to 15%. [allowed range: 0.0 to 1.0]"
"Abilities - X","Abilities|X","XStingCooldownSeconds","Sting Cooldown (s) [v14 §6: 25, not 20]","25","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§6: ""25 s cooldown"" - the one activated ability that is not 20. [allowed range: 0.0 to 180.0]"
"Abilities - X","Abilities|X","XStingBulletCount","Sting Loaded Bullets [keep equal to Bee Count]","5","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How many loaded bullets carry the mark. §6 says five, and says the bees resume orbiting when all five are fired - so this and XBeeCount are the same five and should move together. [allowed range: 1 to 20]"
"Abilities - X","Abilities|X","XVulnerableStackBonus","Vulnerable: Bonus Per Extra Stack (fraction) [v16 §4]","0.05","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","What each stack after the first adds. §4: ""each additional stack only adds 5%"". UNCHANGED BY SPEC v24 §9, which says ""keeping the 5% extra per stack after one intact"". With the first stack now at +35% (XVulnerableDamageBonus), 1 stack = +35%, 2 = +40%, 3 = +45%, and so on up to the cap below. (It used to read +25/+30/+35.) [allowed range: 0.0 to 1.0]"
"Abilities - X","Abilities|X","XVulnerableMaxStacks","Vulnerable: Max Stacks [v16 §4, capped at 5]","5","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","HARD CEILING ON THE STACK COUNT. §4 does not give one; [ASSUMPTION], and this is the knob it was made a knob for. FIVE, and the reason is X's own arithmetic rather than a round number: five is the bee count (XBeeCount) and the Sting clip (XStingBulletCount), so it is exactly the number of marks X can deliver in one engagement without waiting for a cooldown. A cap below five would make the last bees of a Sting clip ... [allowed range: 1 to 50]"
"Abilities - Roxie","Abilities|Roxie","RoxieJumpHeightBonus","Jump HEIGHT Bonus (fraction; velocity scales as sqrt(1+this)) [v18 §2]","0.15","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""jumps 15% higher"". THE FRACTION IS A HEIGHT, AND HEIGHT IS NOT VELOCITY. *** READ THIS BEFORE YOU MULTIPLY JumpZVelocity BY 1.15. *** Apex height under gravity is v^2 / 2g, so it goes as the SQUARE of launch speed: the velocity scale for a +15% apex is sqrt(1.15) = 1.0724, and 1.15 on the velocity would buy +32.25% height - more than double what was asked for. This project has already shipped that exact mistake ... [allowed range: 0.0 to 2.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketDamage","Rocket Damage [v18 §2: flat 100, no hit zones. DAMAGE - never a carrier]","100","HP","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""The rocket deals 100 damage on impact, ANYWHERE ON THE BODY - no headshot/body distinction."" *** THE SINGLE MOST DANGEROUS NUMBER IN THIS FILE. *** 100 is a full health bar, it ignores hit zones, and the game's founding invariant is that NO ABILITY MAY DAMAGE A CORE CARRIER. It must be dealt through UTraceCharacterAbilitySet::DealDamage, which routes to UTraceAbilityComponent::CanAffectTarget - never by ... [allowed range: 0.0 to 500.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketSpeed","Rocket Speed (uu/s)","2600","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How fast the rocket flies. DELIBERATELY WELL UNDER a thrown Core (3300) and nowhere near hitscan: §2 wants something ""deliberately inaccurate and hard to aim"", and a projectile that arrives instantly cannot be either. 2600 uu/s is roughly a second to cross the gap between two midfield cover blocks. [allowed range: 200.0 to 20000.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketLifetimeSeconds","Rocket Lifetime (s)","3","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How long before the rocket gives up. Speed x this is the effective range: 2600 x 3 = 7800 uu. [allowed range: 0.1 to 30.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketHitRadiusUU","Rocket Hit Radius (uu, NOT splash)","45","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The rocket's OWN touch radius, on top of the victim's capsule - the same idea as XBeeHitRadiusUU. IT IS NOT A SPLASH RADIUS. §2 says ""on impact"", once, for 100; an area-of-effect rocket would be a different and much stronger ability than the doc describes. [allowed range: 1.0 to 300.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketWobbleAmplitudeUU","Rocket Wobble Amplitude (uu, 0 = flies straight) [v18 §2]","120","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: it ""WOBBLES in flight, deliberately inaccurate and hard to aim"". This is how far off the straight line the path swings, at its widest. ZERO IS THE RED ARM: a rocket with no wobble is a straight, easily-aimed 100-damage projectile, which is a materially different (and much better) ability. Any verification of ""hard to aim"" should be able to A/B against 0. [allowed range: 0.0 to 1000.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketVisualScale","Rocket: Drawn Size (x its own hit radius) [Demo 17]","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","DEMO 17 item 3, verbatim: ""make the model of the rocket bigger, so it is easy to see."" A multiplier on the DRAWN body, whose base size is RoxieRocketHitRadiusUU above - so 1.0 means ""the rocket is drawn exactly as big as the thing that kills you"". Before Demo 17 the body was a fixed 13 uu dart around a 45 uu lethal radius, i.e. three and a half times narrower than its own hit test: a near miss looked like a clean ... [allowed range: 0.1 to 6.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketWobbleFrequencyHz","Rocket Wobble Frequency (Hz)","3","Hz","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Wobbles per second. With the amplitude above, these two ARE ""hard to aim"" - tune them together. [allowed range: 0.0 to 20.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketSelfLaunchImpulse","Rocket Self-Launch Impulse (uu/s, backwards)","2200","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: the rocket ""launches her BACKWARDS, fast and far"". Applied to ROXIE, opposite her aim. Worth reading against the two speeds this game already has in the hands: the dash is 3300 uu/s and a wall jump throws 360 uu/s outward. 2200 is firmly a movement ability rather than a nudge, and it is on a 35 s cooldown for that reason. [allowed range: 0.0 to 8000.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketSelfLaunchUpBias","Rocket Self-Launch Up Bias (fraction of the impulse)","0.35","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Upward share of that impulse. ""FAR"" needs air time - a purely horizontal shove on the ground is eaten by friction in half a second. Same shape and the same reason as ChutBashUpBias. [allowed range: 0.0 to 1.5]"
"Abilities - Roxie","Abilities|Roxie","RoxieRocketCooldownSeconds","Rocket Cooldown (s) [v18 §2: 35]","35","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""35 s cooldown"". SEPARATE from the E ability's - this one is on V, exactly as Rocco's Ripple is separate from the standard dash. [allowed range: 0.0 to 180.0]"
"Abilities - Roxie","Abilities|Roxie","RoxieModdedFireRateMultiplier","Modded Fire Rate (x; DIVIDES Fire Interval) [v18 §2: 1.65]","1.65","x","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: Modded makes the gun fire ""x1.65"". IT IS A RATE, AND FireInterval IS A PERIOD, so this DIVIDES: 0.3158 s / 1.65 = 0.1914 s, i.e. 190 RPM becomes 314. Multiplying FireInterval by 1.65 would make her fire SLOWER, which is the kind of inversion that reads as ""the ability does nothing"" in a playtest rather than as a bug. *** THIS KNOB IS THE §0 EXAMPLE THE OWNER GAVE, AND IT IS ALREADY RELATIVE. *** It is a ... [allowed range: 0.1 to 5.0]"
"Abilities - Roxie","Abilities|Roxie","bRoxieModdedFullAuto","Modded Makes The Gun Full Auto [v18 §2]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""the gun becomes FULL AUTO"" for the duration. Off leaves it semi-auto but still faster."
"Abilities - Roxie","Abilities|Roxie","RoxieModdedDurationSeconds","Modded Duration (s) [v18 §2: 5, or one clip]","5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""lasts one clip OR 5 seconds, whichever comes first"". This is the 5 s half of that. [allowed range: 0.1 to 60.0]"
"Abilities - Roxie","Abilities|Roxie","bRoxieModdedEndsOnReload","Modded Ends On Reload [v18 §2 ASSUMPTION: 'one clip' = the one loaded when it started]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The ""one clip"" half. §2 [ASSUMPTION]: ""one clip"" means the clip that was loaded when Modded started, so a reload ends the effect. A knob rather than an omission because the other reading - Modded survives reloads and only the 5 s stops it - is defensible and much stronger, and it should be one tick box to try rather than a code change. At 30 rounds and 0.242 s a full clip is 7.3 s of fire, so with this OFF the 5 s ..."
"Abilities - Roxie","Abilities|Roxie","RoxieModdedCooldownSeconds","Modded Cooldown (s) [v18 §2: 25]","25","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""25 s cooldown"". The card prints this too - Trace.VerifyCharacterData compares the pair. [allowed range: 0.0 to 180.0]"
"Abilities - Elle","Abilities|Elle","ElleCloakDurationSeconds","Cloak Duration (s) [v18 §2: 3]","3","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""cloaks themselves for 3 seconds"" after passing or throwing the Core. [allowed range: 0.1 to 30.0]"
"Abilities - Elle","Abilities|Elle","ElleCloakOpacity","Cloak Opacity (0 = invisible, 1 = no cloak) [VISUAL ONLY]","0.22","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How see-through she is while cloaked. 0 is fully invisible, 1 is not cloaked at all. §2 says ""SEMI-transparent and hard to see or aim at"", not invisible, and the difference matters to the other team: a target that cannot be seen at all cannot be counterplayed, and this game has no detection tools. 1.0 IS THE RED ARM for any ""is she harder to see"" verification. *** VISUAL ONLY. *** [ASSUMPTION] the cloak changes no ... [allowed range: 0.0 to 1.0]"
"Abilities - Elle","Abilities|Elle","bElleCloakEndsOnCorePickup","Cloak Drops If She Retakes The Core [v18 §2 ASSUMPTION]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2 [ASSUMPTION]: picking the Core back up drops the cloak early. Off leaves the full 3 s."
